,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1063,0.67596,0.11465,-1.52707,-9.64251,10.06299,0.16516,Jerry Fernström,0.90323,0.34559,-8.09424,-2.26737,False,33.03468
1064,1.52182,0.01878,1.38072,-9.42652,9.98153,-0.01129,Jerry Fernström,-1.47433,-2.99627,-6.68886,-0.81741,True,76.78143
1065,1.37850,0.23115,-4.06152,-8.99647,10.41754,0.34224,Jerry Fernström,1.99008,-1.23841,-9.41025,-2.40929,False,66.89447
1066,0.99704,0.85112,3.03026,-9.29519,10.88691,0.72958,Erik Sven Fernström,1.48549,-2.27901,-9.58749,-0.09659,True,51.36692
1067,-0.14655,-1.59952,3.38093,-9.68455,10.28186,-1.49472,Jerry från Solna,1.49706,0.91071,-8.94182,3.54552,True,-5.63698
1068,1.43984,-0.55139,1.58420,-8.73742,10.63418,-0.80464,Erik Sven Williams,-1.19241,-2.75588,-9.77292,-0.86942,True,72.78396
1069,1.09955,0.96124,-0.24767,-8.96024,10.22123,0.89051,Erik Sven Fernström,0.28055,-0.10630,-8.26076,-4.15091,True,54.85355
1070,3.19672,1.66274,-0.34689,-9.09747,10.46973,1.49852,Jerry Williams,1.35316,3.86628,-8.79272,-1.15267,True,159.66278
1071,0.92260,1.43030,-0.38658,-9.55461,10.66328,1.54400,Erik Sven Fernström,-1.22364,0.48431,-8.39533,0.05278,True,45.93662
1072,1.56356,0.11420,-4.13418,-9.05737,10.87023,0.29348,Jerry Fernström,-1.85606,0.69384,-8.22453,-3.31506,False,76.11068
1073,1.36974,0.20600,1.89385,-9.27850,10.59017,0.36072,Jerry Fernström,-1.71385,0.16121,-8.34681,-0.47417,True,69.43412
1074,-0.01254,-0.56251,2.72503,-8.95178,10.48711,-0.52906,Erik Sven Williams,3.52815,-2.33798,-9.78275,-4.78172,True,0.73552
1075,1.25094,0.17412,0.59204,-9.42322,10.56556,0.18680,Jerry Fernström,0.54765,-0.07343,-10.10538,-2.59167,True,62.84319
1076,0.48298,-0.27257,-4.16920,-9.78935,10.77119,-0.44665,Erik Sven Williams,0.53815,-1.49064,-9.70861,2.92870,False,22.06456
1077,0.78929,-0.20367,-2.91812,-9.39664,10.81600,-0.16655,Erik Sven Williams,-1.40247,-1.42710,-7.47295,-1.60412,False,38.00531
1078,1.95129,0.08822,-5.37026,-8.60304,10.32269,0.12229,Jerry Fernström,-0.78263,0.85564,-8.15303,-0.69285,False,94.87947
1079,0.36139,0.03721,-2.41596,-8.79690,10.55822,0.10007,Jerry Fernström,0.38112,0.42549,-6.88261,-2.02552,False,16.86172
1080,0.69872,-1.15440,-2.77492,-9.13347,10.54768,-1.37684,Jerry från Solna,-1.14177,-0.50555,-8.04898,-1.88444,False,33.54870
1081,-1.03960,-1.25904,-4.41333,-9.03975,10.49354,-1.35037,Jerry från Solna,-1.98443,1.92447,-8.89340,-0.46464,False,-54.18682
1082,1.08814,0.32634,0.16566,-8.52368,10.67793,0.21852,Jerry Fernström,0.46326,-1.44390,-7.03142,-0.32953,True,54.48969
1083,1.63833,-0.26344,0.39446,-8.95686,10.50606,-0.20432,Erik Sven Williams,-0.00612,2.14801,-7.68658,0.36488,True,82.11364
1084,-1.08394,-0.40086,1.91490,-8.62071,10.31006,-0.21846,Erik Sven Williams,-3.54000,2.62113,-7.37445,-2.71232,True,-53.23956
1085,-0.76077,-0.15645,2.02230,-9.61009,10.87316,-0.20290,Erik Sven Williams,1.20039,0.09423,-6.33840,-1.63727,True,-37.02755
1086,0.51736,0.46279,-4.24217,-8.86991,10.27626,0.41259,Jerry Fernström,-1.16067,-0.14697,-7.64515,-0.95051,False,23.74690
1087,2.59002,1.54772,-3.10973,-9.30826,10.37823,1.82991,Jerry Williams,-0.46001,-0.76380,-6.76055,-0.26694,False,127.94619
1088,0.59644,0.17234,-4.32295,-9.11628,10.31856,0.11514,Jerry Fernström,0.27763,2.30448,-7.15056,-1.54166,False,27.66036
1089,0.51415,0.40150,-2.61818,-9.15335,10.45741,0.22743,Jerry Fernström,1.15040,1.07436,-9.04997,-2.28031,False,24.39841
1090,2.36431,1.54751,0.16985,-9.40481,10.04422,1.57198,Jerry Williams,2.16354,0.87554,-7.63491,-1.13476,True,118.30026
1091,1.62998,-0.10769,-3.86029,-9.70946,10.63301,-0.02750,Erik Sven Williams,0.41665,2.39237,-5.94228,-2.15144,False,79.56900
1092,0.09058,0.54563,-4.30824,-9.52830,10.91285,0.58367,Jerry Fernström,1.88047,-2.31760,-7.41912,-1.11975,False,2.37485
1093,-0.15769,-0.22702,-0.21197,-8.99839,10.56131,-0.33378,Erik Sven Williams,1.95798,-2.48192,-11.34960,3.42661,False,-7.99067
1094,-0.34109,0.88690,-0.33681,-8.70709,9.88898,0.83445,Erik Sven Fernström,0.70709,0.71640,-10.21498,0.47556,True,-17.22293
1095,0.10353,1.42206,1.88387,-9.36838,10.80398,1.49233,Erik Sven Fernström,-0.63337,0.46419,-7.92846,-1.42908,True,6.11834
1096,-0.83205,0.87479,-2.20934,-9.22184,10.62922,0.89951,Erik Sven Fernström,1.23275,0.08576,-9.06797,1.74398,False,-42.70732
1097,1.32823,-0.09402,0.47126,-8.84504,9.90637,-0.01916,Erik Sven Williams,-2.05763,0.12254,-6.00318,-0.59713,True,66.64735
1098,0.44372,-0.00904,0.61937,-9.22525,10.29022,0.10308,Erik Sven Williams,-0.09947,0.70541,-8.53314,-0.80601,True,22.49550
1099,1.06632,0.04849,-0.90604,-9.24160,10.44569,-0.00122,Jerry Fernström,-0.65349,0.48709,-5.88374,-0.84605,False,52.86280
1100,2.34441,-0.66617,-4.36383,-9.19992,10.21585,-0.69823,Erik Sven Williams,0.16005,-0.52617,-7.05004,0.54457,False,115.03876
1101,0.44087,-0.53493,-4.63856,-8.99517,10.55814,-0.57178,Erik Sven Williams,-0.63126,1.89680,-9.59119,-1.86650,False,19.72403
1102,0.35863,0.49698,-0.84206,-9.52264,10.45040,0.43901,Jerry Fernström,0.20090,-1.57120,-10.13242,-2.51406,False,17.51033
1103,1.25257,0.53908,-6.13915,-9.40453,10.20482,0.55974,Jerry Fernström,0.24753,2.57740,-10.41767,-1.66630,False,59.55877
1104,0.58163,-1.12373,-3.08494,-9.28783,10.25193,-1.15770,Jerry från Solna,0.33444,0.61540,-9.35556,-3.01997,False,27.53878
1105,2.19729,-0.01176,-1.68294,-8.89152,10.29410,0.03880,Erik Sven Williams,-0.08065,-0.27765,-9.91226,-0.37241,False,109.02298
1106,0.49512,0.90418,0.68062,-8.86951,9.96883,0.84032,Erik Sven Fernström,-0.80804,-0.56486,-9.71036,-1.68417,True,25.09629
1107,1.77317,0.93317,-2.50106,-9.59725,10.75231,0.95188,Erik Sven Fernström,0.37310,-1.25462,-8.82676,-1.73610,False,87.40795
1108,0.93043,-0.09892,-1.09539,-8.45777,10.67618,-0.19325,Erik Sven Williams,-0.83968,-0.62181,-7.62342,-2.97602,False,45.97356
1109,1.34075,0.13335,-2.67522,-9.62976,10.15462,0.25825,Jerry Fernström,2.63181,1.25674,-6.65623,-0.62511,False,65.70012
1110,-0.54265,-1.01375,2.04368,-8.85482,10.07487,-0.94303,Jerry från Solna,0.07463,2.50711,-8.66570,-3.56092,True,-26.11075
1111,0.27856,0.03691,-7.55516,-8.78091,10.10422,-0.11669,Jerry Fernström,-1.96690,2.08781,-10.59122,0.32235,False,10.15054
1112,1.38956,-0.62016,3.76467,-9.62719,10.19351,-0.42821,Erik Sven Williams,-0.46461,-1.68120,-11.15253,1.41984,True,71.36039
1113,0.71185,-0.88968,-1.15828,-9.20205,10.31269,-0.90713,Jerry från Solna,-0.29395,-0.60250,-10.67316,0.32677,False,35.01349
1114,1.72456,0.04330,-2.36487,-8.93445,10.56157,0.18346,Jerry Fernström,-0.39052,0.14023,-10.21595,1.75415,False,85.04576
1115,2.25163,1.16077,2.07015,-9.33666,10.35462,1.30659,Erik Sven Fernström,0.94140,-1.27251,-9.60097,-2.01544,True,113.61641
1116,-0.37031,-0.69177,1.02269,-9.21776,10.84711,-0.77600,Erik Sven Williams,-0.63945,-1.61586,-8.97642,-2.85865,True,-18.00414
1117,0.88426,-0.18904,-2.95583,-9.58927,10.00266,-0.29252,Erik Sven Williams,1.77332,-0.89173,-10.87482,0.37755,False,42.73491
1118,0.72178,0.69224,-7.30100,-9.51935,10.56396,0.69641,Jerry Fernström,1.90002,0.75707,-7.96096,-2.24117,False,32.43873
1119,0.98381,1.57577,-0.64612,-9.49287,9.92193,1.55106,Jerry Williams,2.41569,-1.03083,-9.83949,-2.64067,True,48.86746
1120,0.39938,0.89836,-4.78186,-9.64178,10.73585,1.02240,Erik Sven Fernström,1.33702,-1.98688,-10.33187,0.01719,False,17.57813
1121,0.37803,-0.72732,0.41541,-9.05807,10.77808,-0.86087,Erik Sven Williams,0.66871,1.20719,-8.02753,-3.15481,False,19.10936
1122,1.71690,0.01035,-4.73370,-9.49524,9.95070,0.11213,Jerry Fernström,0.54054,-1.72241,-8.81660,-1.67824,False,83.47790
1123,0.34316,0.17860,-5.90626,-8.74532,10.27985,0.20583,Jerry Fernström,-0.54467,-0.57410,-6.95090,-0.26542,False,14.20502
1124,0.37733,0.55356,2.81913,-9.53410,10.21668,0.66070,Jerry Fernström,-2.53508,-1.67419,-10.09129,1.40336,True,20.27603
1125,0.14167,-0.02010,2.36257,-9.38167,10.05217,-0.01732,Erik Sven Williams,1.07483,-1.39909,-13.34051,3.33813,True,8.26454
1126,1.71902,0.22265,-6.25382,-9.22529,9.98901,0.16993,Jerry Fernström,0.02585,0.24023,-10.32661,1.85374,False,82.82392
1127,1.47541,0.56050,-1.13249,-9.44853,10.01361,0.55427,Jerry Fernström,0.69237,0.68417,-9.06486,-0.31394,False,73.20428
1128,1.69954,-0.18697,-2.87652,-9.21947,10.00572,-0.27240,Erik Sven Williams,0.50995,0.07793,-8.21970,-1.27712,False,83.53882
1129,-1.31091,-1.07612,-0.53439,-9.17756,10.55302,-1.11900,Jerry från Solna,0.04960,-0.78341,-8.42833,-1.05110,False,-65.81288
1130,1.51031,0.00315,-7.35457,-8.74228,9.89251,0.02846,Jerry Fernström,-0.45689,-0.51016,-9.15423,-4.42242,False,71.83816
1131,0.87144,0.02144,1.16006,-9.37196,10.35036,-0.20903,Jerry Fernström,-0.17173,-0.76543,-6.07820,0.57474,True,44.15198
1132,1.15262,-0.07717,-2.82350,-8.87215,10.45598,-0.23173,Erik Sven Williams,-2.61134,-1.55293,-7.77801,-2.32661,False,56.21936
1133,1.46945,0.49031,-4.25750,-9.43118,10.24485,0.53908,Jerry Fernström,0.56055,-0.65077,-8.60817,1.82706,False,71.34352
1134,-0.30085,-1.03007,-3.80496,-9.02596,10.24282,-0.84884,Jerry från Solna,-1.61015,-1.60874,-5.88533,-2.08585,False,-16.94495
1135,1.52810,-0.52383,1.36559,-8.74859,10.51627,-0.44989,Erik Sven Williams,-1.31249,1.41134,-7.32294,-1.22138,True,77.08778
1136,-0.25942,0.27473,-3.47466,-9.05160,10.53398,0.26535,Jerry Fernström,0.29160,1.36049,-7.26139,-0.50109,False,-14.70822
1137,1.37072,-0.65873,3.12946,-8.59007,10.00392,-0.63421,Erik Sven Williams,0.66760,-0.48869,-9.03970,-0.65766,True,70.10048
1138,0.11596,-0.26262,-3.19128,-9.50944,10.30887,-0.46815,Erik Sven Williams,-1.23619,-0.97404,-9.83770,-3.83782,False,4.20217
1139,0.41536,0.00253,4.37605,-9.05767,10.11188,-0.00012,Jerry Fernström,1.33697,2.21102,-7.36542,-2.33832,True,22.95599
1140,0.65928,0.38359,-2.77981,-9.13240,10.60870,0.43534,Jerry Fernström,1.13295,2.55773,-7.91624,-1.70237,False,31.57392
1141,0.37555,-0.68144,1.27275,-9.55777,10.17939,-0.45747,Erik Sven Williams,1.05065,-0.90149,-6.89602,-2.02946,True,19.41394
1142,1.29739,0.69055,-2.64085,-9.15057,10.41965,0.66311,Jerry Fernström,-0.38510,-1.41693,-8.08610,-2.02872,False,63.54894
1143,1.84545,-0.45042,-4.51827,-8.98828,10.23768,-0.42545,Erik Sven Williams,0.79487,-2.56596,-7.24078,-0.26175,False,90.01345
1144,2.21030,0.57489,-3.05462,-9.58193,10.91148,0.65790,Jerry Fernström,0.65433,1.17732,-7.35340,-1.35515,False,108.98783
1145,1.27485,0.08236,0.14065,-9.57690,10.06801,0.10866,Jerry Fernström,2.91902,1.00884,-11.09771,-1.51473,True,63.81298
1146,1.48093,0.43474,-0.03018,-9.66885,10.96699,0.40832,Jerry Fernström,-1.63473,-1.20237,-8.13793,-0.42096,True,74.03157
1147,-0.25224,-0.91789,5.79709,-9.09176,10.14013,-0.93005,Jerry från Solna,-0.49722,0.26114,-7.82568,0.06540,True,-9.71354
1148,-0.90673,-0.45470,4.52859,-9.79421,10.27107,-0.40799,Erik Sven Williams,-0.60088,-0.10240,-8.40247,-3.17387,True,-43.07210
1149,1.28530,0.07481,-0.57510,-9.82907,10.29861,0.05777,Jerry Fernström,-0.17462,-0.65418,-8.03718,-2.28668,False,63.97768
1150,-0.82795,0.97049,1.53687,-9.01407,10.14725,0.98345,Erik Sven Fernström,0.38570,-0.45368,-9.76300,-1.44801,True,-40.62907
1151,0.90002,-0.34316,-6.54482,-9.43475,10.52956,-0.44051,Erik Sven Williams,1.28887,-1.08515,-7.26265,-1.66265,False,41.72844
1152,1.05051,-0.01099,3.54446,-9.29459,10.32603,0.00970,Erik Sven Williams,-1.49276,-2.18243,-9.40495,-1.88729,True,54.29749
1153,0.42066,-0.72942,-2.05628,-8.98885,10.69756,-0.86527,Erik Sven Williams,1.27349,-1.47838,-8.99014,-1.21040,False,20.00498
1154,-1.25698,-0.39438,3.03788,-8.73512,9.95561,-0.62804,Erik Sven Williams,-1.33270,1.13150,-9.92700,-1.73420,True,-61.33004
1155,-0.43988,-0.38970,2.30621,-8.95308,10.15965,-0.44395,Erik Sven Williams,0.07907,-1.41413,-8.29234,-1.11171,True,-20.84108
1156,-0.71921,0.16227,-0.72147,-9.24977,10.22579,0.29858,Jerry Fernström,1.76703,0.62093,-7.97084,-1.95424,False,-36.32109
1157,1.60637,-0.23490,-0.73230,-9.34042,10.05968,-0.30728,Erik Sven Williams,-1.45829,0.74651,-11.14844,3.09835,False,79.95228
1158,0.39082,-1.17891,-0.45350,-9.92891,10.72342,-1.23814,Jerry från Solna,1.81548,-0.00404,-5.77655,-1.17431,False,19.31424
1159,1.54661,1.34199,-4.58138,-9.68402,10.20950,1.37569,Erik Sven Fernström,0.39212,0.65629,-8.26253,-2.25970,False,75.03962
1160,2.90498,1.12964,-0.46773,-8.51719,10.55550,1.05279,Erik Sven Fernström,1.00737,1.46760,-8.74548,-0.52723,True,145.01519
1161,1.41207,0.22195,-1.88372,-9.25193,10.15116,0.20836,Jerry Fernström,0.64801,0.29254,-8.84766,-1.31931,False,69.66145
1162,1.65227,-0.00567,-1.85357,-9.75313,10.98178,0.05252,Erik Sven Williams,0.97514,3.13280,-8.75513,-2.25262,False,81.68648
1163,0.05731,0.21486,0.29577,-9.38098,10.20207,0.20055,Jerry Fernström,-0.46020,-1.58782,-7.37526,-0.33434,True,3.01357
1164,0.26260,-1.05932,-1.00703,-9.90492,10.45458,-0.98879,Jerry från Solna,0.34778,1.87800,-7.54197,0.01188,False,12.62672
1165,1.95758,-0.50628,0.69783,-9.53231,9.99364,-0.52217,Erik Sven Williams,-1.61041,2.09322,-7.01881,-2.76420,True,98.22771
1166,0.63597,-0.24453,-3.84587,-8.89163,10.04605,-0.17938,Erik Sven Williams,2.28229,0.03697,-10.00867,-1.25015,False,29.87561
1167,2.16186,0.21997,-2.53933,-9.09682,10.39649,0.27250,Jerry Fernström,0.76878,-1.47645,-10.13572,0.72000,False,106.82353
1168,0.21259,0.16395,3.59982,-9.26287,10.05620,0.02481,Jerry Fernström,-2.80087,0.05161,-7.96478,-0.84020,True,12.42964
1169,-0.12886,-1.73332,2.49105,-9.61335,10.08292,-1.72545,Jerry från Solna,0.12652,0.59292,-7.90006,-2.60493,True,-5.19763
1170,1.35203,-0.95024,-0.22748,-9.76996,10.25578,-0.84948,Jerry från Solna,-1.30664,-0.40214,-8.55720,0.80283,False,67.48790
1171,-0.27886,0.03613,-0.45263,-9.14393,10.26426,0.08514,Jerry Fernström,0.20450,0.29161,-8.50188,-1.41500,False,-14.16917
1172,1.64571,-0.23906,0.56657,-9.37931,10.44346,-0.35707,Erik Sven Williams,-2.49252,-1.97909,-7.94779,0.55512,True,82.56871
1173,-2.12453,-0.33440,3.86165,-9.65576,10.05182,-0.63284,Erik Sven Williams,-2.48775,-0.50412,-8.70678,-3.03226,True,-104.29558
1174,0.86227,-0.44270,-3.11565,-9.39332,10.33957,-0.34885,Erik Sven Williams,1.08891,-0.09649,-8.13750,-1.66399,False,41.55589
1175,-0.11886,-1.07744,-2.14095,-8.78438,10.46138,-1.24765,Jerry från Solna,0.12031,1.20304,-9.41700,0.01278,False,-7.01364
1176,2.65609,0.53801,-4.08859,-9.13908,10.12561,0.46622,Jerry Fernström,-1.47395,-2.12719,-10.33169,0.57856,False,130.76023
1177,-0.59038,-0.55069,-0.27418,-9.13953,10.30969,-0.71800,Erik Sven Williams,1.34760,-0.56764,-8.21950,-3.98643,False,-29.65589
1178,0.57776,-0.67170,1.32298,-9.47298,10.42277,-0.86768,Erik Sven Williams,0.48754,3.46479,-7.62060,1.04464,True,29.54966
1179,0.65267,0.31564,-3.30754,-9.87417,10.78211,0.26737,Jerry Fernström,0.56940,1.32464,-6.78366,-0.71320,False,30.97975
1180,2.50960,0.65579,2.10789,-9.35140,10.47439,0.45919,Jerry Fernström,0.89855,-2.41018,-6.43336,-0.68453,True,126.53390
1181,-0.30603,-0.15972,-1.09425,-9.41201,10.61241,-0.15160,Erik Sven Williams,-1.34174,0.23008,-9.41809,-2.20678,False,-15.84858
1182,1.92977,0.04892,-4.07725,-8.77695,9.82645,0.02569,Jerry Fernström,-0.39765,1.06886,-10.22369,4.15646,False,94.44984
1183,1.85477,0.30931,-2.63443,-9.42197,10.48423,0.17796,Jerry Fernström,-2.99130,-3.56384,-11.86264,3.29143,False,91.42111
