,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
15,Shoogee,-0.57930,-0.65861,-0.78476,-10.12127,10.28547,-0.52594,Erik Sven Williams,0.34829,0.14600,-6.24306,-0.84485,False,-29.35732
16,Jorg,1.18043,-0.88026,-0.40017,-9.25992,10.63309,-1.04985,Jerry från Solna,-0.86080,-0.40457,-7.06731,0.40418,False,58.82150
17,Bob,1.70591,1.45566,-4.20557,-8.79325,10.48435,1.36882,Erik Sven Fernström,1.74013,-2.54618,-12.01234,-2.98046,False,83.19274
18,Shoogee,1.46980,-0.65678,-4.31008,-9.54643,10.81836,-0.64279,Erik Sven Williams,-1.83377,2.19462,-8.03399,-1.96498,False,71.33506
19,Shoogee,0.90334,0.01917,-0.02270,-9.92857,10.61988,0.00274,Jerry Fernström,0.46750,0.46123,-7.23235,1.59441,False,45.15549
20,Bob,0.29008,0.15800,2.11386,-9.10381,10.49145,0.29914,Jerry Fernström,-2.05009,-0.06088,-9.08424,-2.26423,True,15.56078
21,Bob,0.85181,0.17766,0.04762,-8.49830,10.64509,0.10369,Jerry Fernström,-0.59728,1.04133,-9.26257,-0.49929,True,42.61429
22,Shoogee,2.50302,1.18347,-1.30920,-8.52495,10.15375,1.11157,Erik Sven Fernström,-0.41486,-0.07391,-7.44946,-1.43005,False,124.49633
23,Bob,0.86218,-0.30376,-4.50719,-9.59701,10.34761,-0.26857,Erik Sven Williams,0.99411,-0.66312,-7.54259,-3.79104,False,40.85524
24,Jorg,0.01052,0.03843,-1.28659,-8.92900,10.30845,0.00419,Jerry Fernström,0.53223,-0.98926,-9.97640,0.29723,False,-0.11727
25,Atsuto,-0.19375,-0.48200,1.32784,-8.95263,10.09474,-0.54993,Erik Sven Williams,0.94808,0.11475,-11.17037,2.17873,True,-9.02362
26,Shoogee,-0.47580,-1.12518,8.11521,-9.65135,10.36701,-1.18122,Jerry från Solna,2.88195,1.70985,-8.44694,-3.45480,True,-19.73231
27,Jorg,2.10221,1.56680,-4.65063,-9.08466,10.62068,1.48611,Jerry Williams,-0.49905,0.66664,-9.35286,0.37945,False,102.78509
28,Atsuto,1.09532,0.02553,1.00339,-9.18549,10.35039,0.06123,Jerry Fernström,-0.52498,1.00612,-8.10106,-2.08933,True,55.26750
29,Shoogee,0.00976,0.36657,-3.66396,-8.52761,10.26720,0.39181,Jerry Fernström,-0.12823,-0.49371,-8.51184,-0.81494,False,-1.34377
30,Bob,-1.73821,0.52215,-0.50604,-9.42718,10.52943,0.63244,Jerry Fernström,-1.29686,0.65647,-10.60036,-2.00692,True,-87.16365
31,Atsuto,1.01218,0.32650,-6.55152,-9.33834,10.14469,0.43469,Jerry Fernström,1.10164,-0.01411,-9.33047,-2.59679,False,47.33314
32,Bob,1.51003,0.35799,-2.93415,-8.61513,10.47664,0.43358,Jerry Fernström,0.31367,2.43100,-9.54593,-4.92727,False,74.03446
33,Shoogee,0.55227,-0.35987,4.98711,-9.35961,10.79779,-0.44307,Erik Sven Williams,-0.55546,-1.12193,-10.77922,-2.31803,True,30.10723
34,Shoogee,2.11324,-0.28117,-0.26599,-8.95114,9.90303,-0.20554,Erik Sven Williams,1.67876,-3.16854,-10.65559,-1.41136,False,105.52897
35,Shoogee,0.69466,0.12738,-0.68148,-9.61126,10.87478,0.10675,Jerry Fernström,-0.92604,1.83983,-12.95144,1.17329,False,34.39229
36,Bob,1.26319,0.07268,-1.11034,-9.29531,10.50847,0.18880,Jerry Fernström,-1.36754,0.49391,-8.16993,-0.49659,False,62.60452
37,Jorg,1.86491,0.29448,-4.17120,-9.49832,10.08711,0.27834,Jerry Fernström,-1.56713,-1.02500,-10.92017,4.28342,False,91.15976
38,Shoogee,2.47199,1.10045,-3.48469,-9.01816,10.22060,1.19051,Erik Sven Fernström,-0.50959,-0.24312,-9.12734,-0.81492,False,121.85735
39,Bob,1.38720,-0.49010,2.96531,-9.44964,9.97600,-0.62004,Erik Sven Williams,1.58228,-1.64236,-7.71517,-2.27638,True,70.84286
40,Bob,1.34002,1.83351,-3.68605,-8.38937,10.48468,1.82237,Jerry Williams,0.59596,0.24433,-9.32241,-1.09400,False,65.15790
41,Jorg,0.50044,0.91762,-4.30044,-8.88096,10.50743,1.04021,Erik Sven Fernström,0.93424,2.14632,-10.70854,3.28565,False,22.87197
42,Jorg,1.37690,-1.11724,0.00005,-9.08195,10.40669,-1.30833,Jerry från Solna,0.11065,0.11116,-7.53245,0.14764,False,68.84485
43,Bob,1.91143,-0.05873,-1.33749,-8.55871,10.66258,0.02547,Erik Sven Williams,-0.93491,0.93673,-8.20688,-6.00052,False,94.90253
44,Jorg,-0.45929,-0.38036,3.75300,-8.97552,10.01778,-0.47055,Erik Sven Williams,1.05280,0.10511,-8.43460,-0.61120,True,-21.08789
45,Bob,1.16460,0.23027,1.41096,-8.97488,9.88610,0.30236,Jerry Fernström,0.48894,-1.60339,-8.12642,-5.13631,True,58.93530
46,Bob,1.83325,0.48670,-7.00284,-9.29022,10.46944,0.50447,Jerry Fernström,-0.57531,-0.11999,-10.87105,-2.43875,False,88.16118
47,Jorg,-0.28297,-1.13228,-3.14696,-9.40058,10.19041,-1.08766,Jerry från Solna,1.78625,2.29705,-5.88656,-0.96107,False,-15.72203
48,Shoogee,2.19430,-0.26633,3.11781,-8.99257,10.56822,-0.28560,Erik Sven Williams,0.13621,1.38871,-7.96911,-2.50908,True,111.27396
49,Jorg,1.23768,1.05422,-4.86248,-9.18212,10.33444,0.99432,Erik Sven Fernström,0.54722,1.15161,-6.45001,-2.54687,False,59.45251
50,Shoogee,1.42117,0.99423,-1.58984,-9.13317,9.95116,1.05847,Erik Sven Fernström,1.19630,-0.63842,-9.09685,-2.26283,False,70.26355
51,Bob,2.18098,0.21468,-3.21517,-9.02895,10.64543,0.17279,Jerry Fernström,-0.04109,2.27335,-7.22059,-2.88327,False,107.44134
52,Bob,0.53759,1.22912,2.81923,-8.75173,9.90870,1.18290,Erik Sven Fernström,-0.07684,1.97718,-9.09521,-1.86222,True,28.28897
53,Shoogee,2.65176,0.73416,-4.26206,-8.49737,10.38762,0.67630,Jerry Fernström,-1.62823,2.08327,-6.86056,-2.01262,False,130.45708
54,Shoogee,1.35806,0.02070,-0.31686,-9.45755,10.48588,-0.03028,Jerry Fernström,1.31553,0.72281,-9.24761,-0.62167,False,67.74447
55,Jorg,1.99826,0.05477,-0.98095,-9.34406,9.92647,0.02918,Jerry Fernström,-0.16430,1.33853,-10.56711,1000000000000000000000.47671,False,99.42258
56,Jorg,-0.83086,0.83483,-6.65184,-9.39651,10.09798,0.95582,Erik Sven Fernström,-0.84688,0.67145,-9.18181,-1.27516,False,-44.86879
57,Shoogee,0.86174,0.35617,-0.17120,-9.38967,10.02123,0.13836,Jerry Fernström,-1.02057,0.80598,-4.61047,-0.93403,True,43.00156
58,Jorg,3.44075,1.06626,-4.92475,-8.96078,10.21159,1.15282,Erik Sven Fernström,0.29000,1.81001,-7.99210,-0.46344,False,169.57535
59,Shoogee,2.80684,-0.18899,-4.04750,-10.05994,10.07956,0.05901,Erik Sven Williams,0.88045,0.69747,-8.74861,0.54651,False,138.31826
60,Jorg,2.16407,0.46358,-0.90716,-9.11367,10.27267,0.53996,Jerry Fernström,-1.30633,0.34050,-10.69526,-1.55427,False,107.74978
61,Shoogee,0.40767,-0.02952,-2.90844,-9.51828,9.95960,-0.12627,Erik Sven Williams,-0.87500,-0.42012,-11.00917,0.68476,False,18.92926
62,Shoogee,0.73504,0.49122,-2.70750,-9.34770,10.23128,0.66927,Jerry Fernström,0.92498,-1.94862,-10.29958,-0.33983,False,35.39847
63,Bob,0.10611,-0.08925,-1.96962,-8.72508,10.77804,-0.02240,Erik Sven Williams,-0.89626,2.18861,-9.17630,-1.56401,False,4.32082
64,Bob,3.00284,1.45413,-11.15675,-9.38162,9.92228,1.48189,Erik Sven Fernström,3.10176,-1.49886,-8.60334,-4.39602,False,144.56380
65,Bob,0.32617,-0.80042,2.46646,-8.46171,10.59151,-0.79442,Jerry från Solna,1.87959,0.97094,-8.93237,-0.69474,True,17.54166
66,Bob,-0.89165,-0.00409,1.63501,-8.59192,10.13094,-0.05514,Erik Sven Williams,0.35433,0.55763,-9.19082,-3.05889,True,-43.76522
67,Bob,2.05143,0.62761,2.65050,-9.51739,10.46238,0.55021,Jerry Fernström,0.51285,-0.99226,-9.00407,-2.83029,True,103.89654
68,Jorg,1.38968,-1.19737,0.90648,-9.54666,10.02784,-1.27136,Jerry från Solna,-0.61043,-1.49641,-6.09252,-1.47115,False,69.93703
69,Jorg,1.00869,0.11293,-2.71712,-9.28772,9.89659,0.29265,Jerry Fernström,-0.42061,0.56132,-7.89816,-2.16317,False,49.07591
70,Shoogee,2.16661,-0.38437,3.26862,-9.87705,10.14075,-0.31210,Erik Sven Williams,-0.31248,-0.06242,-8.16854,-1.60229,True,109.96503
71,Shoogee,1.06240,-1.24403,0.86076,-9.33691,9.95866,-1.04069,Jerry från Solna,-0.60369,-0.40447,-6.95275,-1.26662,False,53.55058
72,Jorg,0.89839,-0.34211,1.50655,-9.05127,10.21984,-0.26800,Erik Sven Williams,1.62052,1.38449,-6.38431,1.35428,True,45.67271
73,Atsuto,1.76898,0.02780,-2.72421,-9.47870,10.35763,0.23692,Jerry Fernström,-1.30133,1.30556,-7.82366,-1.02886,False,87.08685
74,Jorg,0.82966,-0.66373,-1.66883,-9.01533,10.51262,-0.70600,Erik Sven Williams,-0.83101,-2.22503,-7.33322,-1.86082,False,40.64873
75,Jorg,2.10801,-0.42502,-6.43946,-8.96709,9.93227,-0.40346,Erik Sven Williams,-0.55592,-0.84510,-10.93709,2.54671,False,102.18055
76,Bob,0.98471,0.18932,-1.27789,-9.60248,9.96080,0.10656,Jerry Fernström,1.55912,-0.88997,-9.86484,-1.41634,False,48.59648
77,Shoogee,0.04431,0.24116,2.58973,-9.13032,10.76010,0.27824,Jerry Fernström,-0.95335,-2.00989,-10.08319,-0.36489,True,3.51061
78,Jorg,1.30840,-0.08126,0.26350,-9.26305,10.33623,0.01667,Erik Sven Williams,-1.29634,-1.70758,-8.03696,-0.51991,True,65.55195
79,Bob,0.62766,0.27005,-0.16558,-8.55859,10.73490,0.44947,Jerry Fernström,0.50295,0.08003,-8.42842,-1.09144,True,31.30026
80,Bob,1.40210,-0.49624,-2.04560,-8.61050,10.30744,-0.29504,Erik Sven Williams,-1.34001,-0.90059,-5.96884,-1.43269,False,69.08200
81,Bob,0.99423,-0.46102,-4.24541,-9.02999,10.75683,-0.43842,Erik Sven Williams,-0.88883,0.25572,-8.67222,-3.46290,False,47.58897
82,Shoogee,-0.10483,1.87380,0.76205,-9.50088,9.94529,1.94928,Jerry Williams,0.54862,-1.27956,-8.11025,-0.80385,True,-4.86069
83,Jorg,1.68813,0.39095,1.80375,-9.01185,10.34290,0.35635,Jerry Fernström,-0.50020,-0.07838,-10.00212,-1.00872,True,85.30859
84,Jorg,2.28140,-0.18335,-4.59013,-8.84723,10.26784,-0.29081,Erik Sven Williams,-0.32844,-0.05925,-12.14603,2.75504,False,111.77516
85,Atsuto,0.87807,-0.15783,-1.75110,-9.10187,10.09842,-0.16369,Erik Sven Williams,0.15299,0.87377,-8.14199,-3.47962,False,43.02788
86,Jorg,0.70912,-0.06848,-3.44853,-9.55280,9.96969,-0.17479,Erik Sven Williams,0.75649,-0.60677,-8.05772,-1.26009,False,33.73178
87,Bob,1.22099,-0.12872,-6.90259,-9.25235,10.07955,-0.03559,Erik Sven Williams,0.59881,0.75755,-9.56556,-1.49336,False,57.59835
88,Bob,1.14461,-0.77994,5.25124,-8.43091,10.71721,-0.69586,Jerry från Solna,0.64643,0.35481,-9.29622,-1.38060,True,59.85621
89,Shoogee,1.24084,-0.26631,3.16898,-9.52989,10.16463,-0.15231,Erik Sven Williams,0.12710,-1.29942,-7.10539,-2.62192,True,63.62637
90,Jorg,-1.14463,-0.13455,4.36587,-8.81448,10.16132,-0.05237,Erik Sven Williams,0.12050,-0.95029,-5.90401,-0.00455,True,-55.04856
91,Shoogee,0.37703,-0.19076,-1.82944,-9.25649,10.80148,-0.06545,Erik Sven Williams,0.79305,-0.06089,-7.73534,-2.09057,False,17.93688
92,Jorg,1.23440,-0.15867,-3.46551,-9.01262,10.15993,-0.15589,Erik Sven Williams,-2.20707,-1.67887,-8.45715,0.41751,False,59.98715
93,Jorg,0.96005,-0.12099,-4.15340,-9.00303,10.56187,-0.23571,Erik Sven Williams,-0.32101,-1.66168,-12.17327,0.05056,False,45.92573
94,Jorg,0.49026,-0.87495,-5.72749,-9.35193,10.32719,-0.92852,Jerry från Solna,1.09067,-0.53666,-9.99725,-1.93045,False,21.64945
95,Jorg,1.57653,0.40525,-4.55657,-8.95637,9.99511,0.43214,Jerry Fernström,-1.40956,-0.21870,-9.04385,-0.82048,False,76.54844
96,Atsuto,2.15810,1.18235,2.40259,-9.63414,10.18499,1.26587,Erik Sven Fernström,-1.34145,-0.97320,-9.54317,1.41237,True,109.10643
97,Bob,0.04251,-0.76488,-0.02665,-9.94492,9.99692,-0.76436,Jerry från Solna,-3.41003,-0.66902,-7.92131,-2.46107,False,2.11208
98,Bob,1.25413,0.05561,-1.29730,-9.55300,10.78140,-0.04415,Jerry Fernström,1.80053,1.25994,-7.87450,-0.33084,False,62.05793
99,Jorg,0.57260,0.03270,3.57691,-8.88869,10.12095,0.22092,Jerry Fernström,0.30696,-0.18889,-8.09409,-0.23816,True,30.41855
100,Atsuto,0.39508,0.29861,-1.10881,-9.64655,10.45846,0.41050,Jerry Fernström,-0.80550,-0.00023,-7.14287,-2.14916,False,19.19952
101,Atsuto,0.60250,0.43544,1.29480,-9.30460,10.32864,0.30077,Jerry Fernström,0.45398,1.29340,-8.90449,-2.38243,True,30.77254
102,Jorg,2.16129,-0.36334,3.46325,-8.85452,10.17415,-0.39508,Erik Sven Williams,0.05443,-0.72125,-11.57553,-0.34499,True,109.79625
103,Shoogee,1.22217,0.35183,-1.16104,-9.90598,10.11072,0.49356,Jerry Fernström,0.44555,-0.17953,-8.36515,-1.08173,False,60.52785
104,Jorg,-0.62522,-0.56861,1.27144,-9.30171,10.40635,-0.55686,Erik Sven Williams,0.38737,0.80362,-11.37937,2.00720,True,-30.62549
105,Shoogee,2.08001,0.78859,-3.45986,-8.70333,10.50608,0.78970,Erik Sven Fernström,-0.37571,1.62406,-11.30730,0.19223,False,102.27040
106,Bob,0.97153,-0.52563,-4.96279,-8.47147,10.25008,-0.44375,Erik Sven Williams,-3.08928,0.81491,-8.12036,-1.36046,False,46.09508
107,Shoogee,-0.78304,-0.83398,-2.60348,-8.80897,9.95581,-0.89881,Jerry från Solna,-0.30877,0.66598,-6.34687,-0.76294,False,-40.45382
108,Bob,1.62690,1.23987,4.03003,-9.72289,10.19500,1.19393,Erik Sven Fernström,0.25277,1.48038,-5.74553,-0.98055,True,83.36016
109,Bob,2.01948,-0.40060,-9.40677,-8.50606,10.62003,-0.30150,Erik Sven Williams,3.06028,-1.11758,-9.36328,-3.41214,False,96.27084
110,Shoogee,1.56193,0.45507,3.05508,-8.92328,10.58545,0.41175,Jerry Fernström,-1.00255,0.02974,-8.03574,-1.45007,True,79.62418
111,Jorg,-0.04083,-0.25772,6.29700,-9.08856,9.91108,-0.25687,Erik Sven Williams,0.54944,-0.30289,-10.44887,-0.44059,True,1.10696
112,Shoogee,3.49965,0.67903,-4.27201,-8.88721,10.09886,0.48696,Jerry Fernström,-0.74658,1.00768,-5.93535,-1.17957,False,172.84627
113,Bob,1.52017,0.23456,-0.89618,-9.30885,10.52884,0.31625,Jerry Fernström,3.50377,-1.40908,-9.38037,-2.14101,False,75.56027
114,Atsuto,2.76553,-0.50037,-4.01301,-9.26115,10.24836,-0.29031,Erik Sven Williams,-1.02457,0.61184,-9.05077,2.71999,False,136.27001
115,Jorg,0.56384,-0.30292,-1.83395,-9.53259,10.06880,-0.25194,Erik Sven Williams,1.00703,0.76695,-8.79046,-0.60765,False,27.27512
116,Bob,1.77879,0.88815,1.72829,-8.34221,10.59829,0.83796,Erik Sven Fernström,-0.58733,-0.86711,-5.06988,-1.66028,True,89.80386
117,Shoogee,-0.73316,0.22662,5.19167,-9.86518,10.73079,0.23777,Jerry Fernström,-0.14826,1.04874,-5.58300,-0.43298,True,-34.06194
118,Shoogee,0.99425,1.28915,1.56579,-8.67450,10.25698,1.36982,Erik Sven Fernström,-0.30065,0.47537,-5.80867,-0.21228,True,50.49551
119,Jorg,0.61743,0.59674,-6.70670,-9.04953,10.56753,0.63032,Jerry Fernström,1.58800,0.60795,-11.94679,1.17413,False,27.51807
120,Shoogee,1.63365,-0.58565,-0.00527,-9.44359,10.28679,-0.57490,Erik Sven Williams,-0.70721,0.56752,-5.84292,-1.77417,False,81.67973
121,Shoogee,1.74647,0.19137,-3.23852,-9.93829,10.25828,0.12808,Jerry Fernström,1.13242,-0.08042,-7.71285,-1.60492,False,85.70411
122,Bob,0.69331,-0.13434,-5.07774,-9.36243,10.34172,-0.18107,Erik Sven Williams,-1.09782,2.19000,-10.06840,-2.57514,False,32.12644
123,Jorg,0.87523,-0.12056,-0.24050,-9.23135,10.50092,-0.23921,Erik Sven Williams,-1.51589,0.06951,-12.34981,3.22272,False,43.64117
124,Jorg,0.46795,-0.40290,3.79413,-8.89306,9.97748,-0.22526,Erik Sven Williams,-1.21266,-0.10005,-10.06606,4.01254,True,25.29442
125,Jorg,0.46091,-0.50946,1.77126,-9.31484,10.19950,-0.50100,Erik Sven Williams,-0.22708,0.71319,-8.00961,-2.52793,True,23.93118
126,Bob,0.95213,-0.33698,2.64585,-9.17477,10.08428,-0.43257,Erik Sven Williams,-1.09965,1.05656,-11.09582,-1.52029,True,48.92964
127,Shoogee,0.14499,-0.44880,-0.77620,-8.71220,10.35284,-0.40886,Erik Sven Williams,1.55340,-0.58496,-9.22798,0.06314,False,6.86147
128,Bob,2.55182,0.64862,-2.04604,-8.62415,10.02957,0.66957,Jerry Fernström,-1.13352,-0.94631,-8.04852,-4.85317,False,126.56789
129,Bob,2.66258,-0.95033,-0.25808,-8.70364,10.54909,-0.97648,Jerry från Solna,-0.10000,-1.34363,-7.27886,-5.85132,False,133.00013
130,Shoogee,0.61776,-1.07786,-5.96099,-8.99138,9.82526,-0.96714,Jerry från Solna,-0.90667,0.68809,-8.81033,-1.16481,False,27.90728
131,Jorg,0.34274,-0.75096,-3.14305,-9.39266,10.00441,-0.67061,Jerry från Solna,1.66344,0.55879,-7.14493,-1.02139,False,15.56536
132,Jorg,0.72633,0.39719,2.55016,-9.57992,10.10389,0.24248,Jerry Fernström,-3.13172,-1.87773,-6.43337,1.42444,True,37.59143
133,Jorg,2.12795,-0.71207,-4.21479,-9.25319,10.35145,-0.86652,Erik Sven Williams,-1.39680,-1.99023,-8.34176,0.18288,False,104.29015
https://youtu.be/74TDvzZcHPw
134,Jorg,1.20954,-0.28124,-6.16323,-9.08585,9.97193,-0.32010,Erik Sven Williams,0.01264,2.40450,-6.74832,-0.83450,False,57.39540
135,Shoogee,1.96664,0.73232,0.93892,-9.86165,10.88157,0.78330,Jerry Fernström,-0.12016,-1.33846,-10.00460,-1.75606,True,98.80162
136,Shoogee,0.30478,-0.58509,-2.37517,-8.72105,9.93449,-0.73382,Erik Sven Williams,0.48846,1.60125,-6.17827,-0.62348,False,14.05161
137,Bob,2.51161,0.30653,-2.05115,-8.77199,10.14078,0.24468,Jerry Fernström,0.66892,-0.87095,-10.25671,-4.06369,False,124.55517
138,Shoogee,-0.47563,-0.88858,-0.41135,-9.65236,10.96033,-0.87327,Jerry från Solna,0.51587,-0.79777,-11.33588,-1.15193,False,-23.98726
139,Shoogee,0.14039,-0.39744,2.39212,-8.38025,10.63322,-0.45446,Erik Sven Williams,-0.66222,1.33361,-8.89441,-1.92863,True,8.21532
140,Jorg,1.47387,-0.32262,-1.68330,-9.30197,10.23773,-0.21615,Erik Sven Williams,-0.00077,0.71954,-6.70264,-0.47245,False,72.85191
141,Atsuto,2.12252,0.90283,-4.59444,-9.58819,10.34246,1.09406,Erik Sven Fernström,0.02991,-0.73226,-10.14875,-1.87385,False,103.82882
142,Atsuto,1.89126,0.98958,-0.15856,-8.96394,10.10272,1.20868,Erik Sven Fernström,0.27941,1.12921,-10.05375,3.17763,True,94.48384
143,Shoogee,1.62101,0.52106,-3.65864,-8.40238,10.53587,0.47632,Jerry Fernström,0.32645,1.45238,-6.94004,-3.85163,False,79.22128
144,Bob,0.88952,0.16040,-3.00834,-8.74340,10.13306,0.10365,Jerry Fernström,0.27860,-0.19718,-8.27324,-0.89697,False,42.97199
145,Jorg,1.06445,0.70250,-0.68295,-9.64579,10.08945,0.74737,Jerry Fernström,-4.52421,-2.43958,-11.30639,3.50983,True,52.88081
146,Bob,0.94346,-0.48517,-0.61703,-9.14836,10.26636,-0.29925,Erik Sven Williams,1.77744,-0.30530,-10.39188,0.28106,False,46.86438
147,Atsuto,1.75323,-0.52643,0.16992,-9.52838,10.41046,-0.54105,Erik Sven Williams,-0.30135,-0.99772,-10.42904,2.72004,False,87.74625
148,Jorg,0.81579,-0.00319,-3.39559,-9.31614,10.45806,0.02836,Erik Sven Williams,-1.71703,-0.17718,-8.07136,-1.83820,False,39.09165
149,Shoogee,1.71712,0.47391,-0.15266,-9.49047,10.78226,0.55100,Jerry Fernström,0.06725,0.86788,-4.97557,-3.34360,True,85.77949
150,Shoogee,2.45877,-0.11851,4.89351,-9.37802,10.78882,-0.12546,Erik Sven Williams,0.86964,-3.68549,-11.00490,-0.33014,True,125.38517
151,Jorg,1.34048,0.00457,-7.20526,-8.89940,10.09660,0.00626,Jerry Fernström,-0.67139,1.46355,-5.82767,-0.79412,False,63.42151
152,Shoogee,-0.18160,0.42872,-3.49993,-9.17009,10.48228,0.35769,Jerry Fernström,-0.43142,-2.80559,-7.05532,-1.50175,False,-10.82977
153,Shoogee,-0.74925,0.97160,-2.75525,-9.16104,10.15218,0.79773,Erik Sven Fernström,-0.72910,-1.31965,-10.97977,-2.73528,False,-38.83991
154,Shoogee,-0.04143,-0.34266,-0.83830,-9.03655,10.58981,-0.26185,Erik Sven Williams,0.95977,0.18591,-9.29125,-0.73444,False,-2.49086
155,Jorg,0.00465,-0.98409,-5.78591,-9.57857,9.97909,-0.91975,Jerry från Solna,0.62987,3.23931,-7.28447,-2.83806,False,-2.66056
156,Shoogee,0.82181,0.25682,-3.29345,-9.71989,10.73111,0.32839,Jerry Fernström,1.11138,0.04017,-7.74728,-2.50784,False,39.44387
157,Bob,0.52753,-1.15209,2.53026,-9.02984,9.95326,-1.24250,Jerry från Solna,-3.13512,1.84481,-9.15591,-0.99495,True,27.64154
158,Shoogee,0.48902,0.86396,0.54680,-8.51275,10.48687,0.74057,Erik Sven Fernström,-1.02442,-0.15692,-7.44613,-0.84442,True,24.72453
159,Atsuto,-0.86624,0.04485,3.32294,-9.04798,10.27969,-0.02560,Jerry Fernström,-0.38457,0.35319,-8.93233,-3.71881,True,-41.65075
160,Bob,1.00336,1.16705,-0.87349,-8.75830,9.82328,1.20671,Erik Sven Fernström,1.80851,-0.69139,-10.63358,-1.54813,True,49.73115
161,Shoogee,1.36841,-0.73577,-1.77408,-8.38723,10.63898,-0.73229,Erik Sven Williams,0.08475,-0.67567,-6.82695,-2.13260,False,67.53370
162,Jorg,1.30154,0.38804,-2.77435,-8.89481,10.42778,0.25174,Jerry Fernström,-0.19590,-1.22520,-5.91996,0.20151,False,63.68972
163,Bob,1.01412,0.73462,-3.69225,-9.69622,10.63518,0.59871,Jerry Fernström,-0.70756,0.65521,-8.72752,-5.13362,False,48.86004
164,Shoogee,1.68637,0.45438,-0.22484,-8.54868,10.43716,0.56484,Jerry Fernström,-0.09178,0.17185,-7.24945,-1.40962,True,84.20623
165,Jorg,1.21546,0.92574,-0.43789,-9.63402,9.94231,0.99132,Erik Sven Fernström,-1.85672,-0.54101,-8.14812,-0.04245,True,60.55430
166,Jorg,-0.06003,0.21196,-3.13232,-8.97731,10.59488,0.35980,Jerry Fernström,-1.02307,-1.24855,-9.60806,2.15382,False,-4.56742
167,Shoogee,1.74537,0.53198,0.15277,-9.36189,10.61555,0.40397,Jerry Fernström,0.17775,-1.81369,-7.79147,-1.91309,True,87.34501
168,Jorg,1.98165,-0.55031,1.22233,-9.04864,10.00457,-0.49083,Erik Sven Williams,1.99521,2.32481,-7.90828,-1.42069,True,99.69382
169,Jorg,1.58879,0.34925,-1.26087,-9.38438,10.49554,0.36300,Jerry Fernström,-0.58980,-1.15931,-5.07406,-0.08125,False,78.80920
170,Shoogee,1.30413,-0.00057,-3.33350,-8.86901,10.05277,0.00455,Erik Sven Williams,0.01372,1.60943,-8.42207,-0.80509,False,63.53994
171,Jorg,2.00034,-0.15184,-0.41483,-9.50925,10.25709,0.02527,Erik Sven Williams,0.29230,1.41618,-9.22865,-1.94835,False,99.80939
172,Shoogee,0.38733,-1.51637,3.48364,-9.45872,10.83684,-1.66505,Jerry från Solna,0.93406,0.21910,-9.13152,-0.98386,True,21.10827
173,Jorg,2.70632,0.80373,-4.54068,-8.95175,10.06633,0.94932,Erik Sven Fernström,-1.62255,-2.26184,-10.07519,0.33584,False,133.04559
